TEAM,NATIONALITY,POSITION,AGE,POTENTIAL,NAME
Manchester City ,Germany,Mediocampista defensivo|Mediocampista central,29,Muy bueno,Ilkay Gündogan
Napoli ,Spain,Mediocampista lateral|Extremo (Extremo derecho),33,Muy bueno,José Callejón
Chelsea ,Spain,Defensa lateral|Defensa lateral (lateral derecha)|Defensa central,30,Muy bueno,Azpilicueta
FC Barcelona ,Chile,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,33,Muy bueno,Arturo Vidal
Roma ,Bosnia & Herzegovina,Delantero,34,Muy bueno,Edin Dzeko
Sevilla FC ,Argentina,Mediocampista defensivo|Mediocampista central,32,Muy bueno,Éver Banega
Cagliari ,Belgium,Mediocampista central|Mediocampista ofensivo|Delantero central,32,Muy bueno,Radja Nainggolan
Real Madrid ,Brazil,Defensa lateral (lateral derecha),32,Muy bueno,Marcelo
Lazio ,Brazil,Mediocampista defensivo,33,Muy bueno,Lucas Leiva
Juventus ,France,Mediocampista defensivo|Mediocampista central,33,Muy bueno,Blaise Matuidi
Torino ,Italy,Portero,33,Muy bueno,Salvatore Sirigu
Wolverhampton Wanderers ,Portugal,Mediocampista central,33,Muy bueno,João Moutinho
FC Barcelona ,France,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),23,Sobresaliente,Ousmane Dembélé
Grêmio ,Brazil,Mediocampista ofensivo|Extremo (Extremo derecho),28,Muy bueno,Ronaldo Cabrais
Grêmio ,Brazil,Defensa central,28,Muy bueno,Josué Chiamulera
Atlético Mineiro ,Brazil,Delantero|Delantero central,28,Muy bueno,Louri Beretta
Real Sociedad ,Spain,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),23,Muy bueno,Oyarzabal
Napoli ,Spain,Mediocampista central,24,Muy bueno,Fabián
Ajax ,Netherlands,Mediocampista central|Mediocampista ofensivo,23,Muy bueno,Donny van de Beek
Roma ,Spain,Portero,25,Muy bueno,Pau López
Getafe CF ,Togo,Defensa central,28,Muy bueno,Dakonam Djené
SL Benfica ,Portugal,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),27,Muy bueno,Rafa
TSG 1899 Hoffenheim ,Croatia,Delantero|Mediocampista ofensivo,29,Muy bueno,Andrej Kramaric
Inter ,Croatia,Mediocampista defensivo|Mediocampista central,27,Muy bueno,Marcelo Brozovic
Atalanta ,Colombia,Delantero,29,Muy bueno,Duván Zapata
Guangzhou Evergrande Taobao FC ,Brazil,Mediocampista ofensivo|Extremo (Extremo derecho),26,Muy bueno,Anderson Talisca
Lazio ,lbania,Portero,25,Muy bueno,Thomas Strakosha
Manchester United ,France,Delantero,24,Muy bueno,Anthony Martial
Ajax ,Argentina,Defensa lateral (lateral derecha),27,Muy bueno,Nicolás Tagliafico
Tottenham Hotspur ,England,Mediocampista central|Mediocampista ofensivo,24,Muy bueno,Dele Alli
Milan ,Italy,Defensa central,25,Muy bueno,Alessio Romagnoli
SL Benfica ,Spain,Defensa lateral (lateral derecha),24,Muy bueno,Grimaldo
Borussia Dortmund ,Portugal,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,26,Muy bueno,Raphaël Guerreiro
Ajax ,Netherlands,Mediocampista ofensivo|Extremo (Extremo izquierdo),28,Muy bueno,Quincy Promes
Eintracht Frankfurt ,Serbia,Extremo|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),27,Muy bueno,Filip Kostic
Atlético Madrid ,Belgium,Mediocampista lateral (Mediocampista derecho),26,Muy bueno,Yannick Carrasco
Chelsea ,Spain,Portero,25,Muy bueno,Kepa
Medipol Basaksehir FK ,Bosnia & Herzegovina,Mediocampista lateral,30,Muy bueno,Edin Višca
Napoli ,Poland,Delantero,26,Muy bueno,Arkadiusz Milik
Real Sociedad ,Spain,Mediocampista lateral|Delantero central|Extremo (Extremo derecho),28,Muy bueno,Portu
Olympique de Marseille ,France,Mediocampista lateral|Extremo (Extremo derecho),27,Muy bueno,Florian Thauvin
RB Leipzig ,Austria,Mediocampista central|Mediocampista ofensivo,26,Muy bueno,Marcel Sabitzer
Wolverhampton Wanderers ,Mexico,Delantero,29,Muy bueno,Raúl Jiménez
Atlético Madrid ,Montenegro,Defensa central,29,Muy bueno,Stefan Savic
Borussia Dortmund ,Belgium,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Delantero central,27,Muy bueno,Thorgan Hazard
Manchester United ,England,Defensa central,27,Muy bueno,Harry Maguire
Valencia CF ,Brazil,Defensa central,29,Muy bueno,Gabriel Paulista
Atlético Madrid ,Spain,Delantero,27,Muy bueno,Morata
Everton ,France,Defensa lateral (lateral derecha),27,Muy bueno,Lucas Digne
Ajax ,Serbia,Mediocampista ofensivo|Delantero central|Extremo (Extremo izquierdo),31,Muy bueno,Dušan Tadic
Bayer 04 Leverkusen ,Chile,Mediocampista defensivo|Mediocampista central,31,Muy bueno,Charles Aránguiz
Paris Saint-Germain ,Spain,Mediocampista ofensivo|Extremo (Extremo derecho),28,Muy bueno,Pablo Sarabia
Crystal Palace ,Ivory Coast,Mediocampista lateral (Mediocampista derecho)|Delantero central,27,Muy bueno,Wilfried Zaha
Valencia CF ,Spain,Delantero,29,Muy bueno,Rodrigo
Real Betis ,Spain,Defensa central|Mediocampista defensivo,29,Muy bueno,Bartra
FC Bayern München ,Austria,Defensa lateral (lateral derecha)|Defensa central,28,Muy bueno,David Alaba
Liverpool ,Cameroon,Defensa central,28,Muy bueno,Joel Matip
Juventus ,Colombia,Defensa lateral|Mediocampista lateral|Extremo (Extremo derecho),32,Muy bueno,Juan Cuadrado
VfL Wolfsburg ,Belgium,Portero,28,Muy bueno,Koen Casteels
Bayer 04 Leverkusen ,Finland,Portero,30,Muy bueno,Lukáš Hrádecky
Ajax ,Netherlands,Defensa lateral (lateral derecha)|Defensa central|Mediocampista defensivo,30,Muy bueno,Daley Blind
Athletic Club ,Spain,Mediocampista ofensivo|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),27,Muy bueno,Muniain
Eintracht Frankfurt ,Germany,Portero,30,Muy bueno,Kevin Trapp
Manchester City ,England,Defensa lateral,30,Muy bueno,Kyle Walker
Juventus ,Wales,Mediocampista central|Mediocampista ofensivo,29,Muy bueno,Aaron Ramsey
