Year;Month;Day;Flag Tsunami;Flag Earthquake;Volcano Name;Location;Country;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Volcano : Deaths Description;Volcano : Missing;Volcano : Missing Description;Volcano : Injuries;Volcano : Injuries Description;Volcano : Damage (in M$);Volcano : Damage Description;Volcano : Houses destroyed;Volcano : Houses destroyed Description;Total Effects : Deaths;Total Effects : Deaths Description;Total Effects : Missing;Total Effects : Missing Description;Total Effects : Injuries;Total Effects : Injuries Description;Total Effects : Damages in million Dollars;Total Effects : Damage Description;Total Effects : Houses Destroyed;Total Effects : Houses Destroyed Description;Coordinates;Earthquakes : Houses damaged Description;Total Effects : Houses Damaged Description
2011;01;28;;;Kirishima;Kyushu-Japan;Japan;1700;Shield volcano;Historical;;;;;;;Few (~1 to 50 deaths);;LIMITED (roughly corresponding to less than $1 million);;;;;;;;Few (~1 to 50 deaths);;LIMITED (roughly corresponding to less than $1 million);;;31.93,130.87;;
2012;12;12;;;Tolbachik;Kamchatka;Russia;3682;Shield volcano;Historical;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;55.83,160.33;;
2018;04;28;Tsunami;Earthquake;Kilauea;Hawaiian Is;United States;1222;Shield volcano;Historical;1;;;;;1.0;Few (~1 to 50 deaths);370.0;EXTREME (~$25 million or more);716;Many (~101 to 1000 houses);;;;;1.0;Few (~1 to 50 deaths);370;EXTREME (~$25 million or more);716;Many (~101 to 1000 houses);19.425,-155.292;;
2020;05;29;Tsunami;Earthquake;Ijen;Java;Indonesia;2799;Stratovolcano;Historical;;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;-8.058,114.242;;
-197;;;Tsunami;Earthquake;Santorini;Greece;Greece;329;Shield volcano;Historical;3;;;;;;;;;;;;;;;;;;;;;36.404,25.396;;
60;;;;;Bona-Churchill;Alaska-E;United States;5005;Stratovolcano;Radiocarbon;6;;;;;;;;;;;;;;;;;;;;;61.38,-141.75;;
1631;12;16;Tsunami;Earthquake;Vesuvius;Italy;Italy;1281;Complex volcano;Historical;5;4000;Very Many (~1001 or more deaths);;;;;;EXTREME (~$25 million or more);;Very Many (~1001 or more houses);4000;Very Many (~1001 or more deaths);;;;;;EXTREME (~$25 million or more);;Very Many (~1001 or more houses);40.821,14.426;;
1682;08;12;;;Vesuvius;Italy;Italy;1281;Complex volcano;Historical;3;4;Few (~1 to 50 deaths);;;;;;;;;4;Few (~1 to 50 deaths);;;;;;;;;40.821,14.426;;
1757;07;09;;Earthquake;San Jorge;Azores;Portugal;1053;Fissure vent;Historical;0;;;;;;;;;;;1053;Very Many (~1001 or more deaths);;;;;;SEVERE (~>$5 to $24 million);;Very Many (~1001 or more houses);38.65,-28.08;;
1812;04;27;;;Soufriere St. Vincent;W Indies;St. Vincent & the Grenadines;1220;Stratovolcano;Historical;4;56;Some (~51 to 100 deaths);;;;;;;;;56;Some (~51 to 100 deaths);;;;;;;;;13.33,-61.18;;
