Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
1856 dC,4.0,Estratovolcán,False,False,Komaga-take (Japan)
1883 dC,4.0,Arandela De Cúpula,True,False,Augustine (United States)
1914 dC,4.0,Estratovolcán,True,True,Sakura-jima (Japan)
1919 dC,3.0,Estratovolcán,True,False,Stromboli (Italy)
1927 dC,1.0,Estratovolcán,False,False,Esjufjoll (Iceland)
1944 dC,2.0,Volcán Complejo,False,False,Vesuvius (Italy)
1949 dC,3.0,Estratovolcán,False,False,Camiguin (Philippines)
1953 dC,2.0,Volcán Submarino,True,False,Myojun Knoll (Japan)
1968 dC,3.0,Estratovolcán,False,False,Arenal (Costa Rica)
1972 dC,0.0,Volcán Complejo,False,False,Hakone (Japan)
1981 dC,2.0,Estratovolcán,False,False,Alaid (Russia)
1990 dC,0.0,Estratovolcán,False,False,Kelut (Indonesia)
1997 dC,3.0,Estratovolcán,False,False,Soufriere Hills (Montserrat)
2002 dC,3.0,Estratovolcán,False,False,Semeru (Indonesia)
2006 dC,3.0,Estratovolcán,False,False,Tungurahua (Ecuador)
3580 aC,6.0,Estratovolcán,False,False,Taal (Philippines)
2040 aC,6.0,Volcán Complejo,False,False,Long Island (Papua New Guinea)
653 dC,6.0,Caldera,False,False,Dakataua (Papua New Guinea)
683 dC,6.0,Escudo Piroclástico,False,False,Rabaul (Papua New Guinea)
950 dC,0.0,Volcán Subglacial,False,False,Katla (Iceland)
1580 dC,3.0,Grieta De Viento,False,False,San Jorge (Portugal)
1581 dC,4.0,Estratovolcán,False,False,Fuego (Guatemala)
1608 dC,3.0,Estratovolcán,True,False,Gamalama (Indonesia)
1625 dC,5.0,Volcán Subglacial,False,False,Katla (Iceland)
1660 dC,4.0,Estratovolcán,False,False,Teon (Pacific Ocean)
1773 dC,2.0,Estratovolcán,False,False,Gamalama (Indonesia)
1779 dC,2.0,Volcán Complejo,False,False,Vesuvius (Italy)
1801 dC,2.0,Estratovolcán,False,False,Chokai (Japan)
1804 dC,3.0,Caldera,False,False,Shikotsu (Japan)
1820 dC,2.0,Estratovolcán,True,True,Westdahl (United States)
1845 dC,4.0,Estratovolcán,False,False,Hekla (Iceland)
1867 dC,2.0,Volcán Complejo,False,False,Zao (Japan)
1870 dC,2.0,Volcán En Escudo,False,False,Aoba (Vanuatu)
1910 dC,0.0,Caldera,False,False,Taupo (New Zealand)
1952 dC,0.0,Volcán Complejo,False,False,Hakone (Japan)
1953 dC,2.0,Caldera,False,False,Aso (Japan)
1963 dC,3.0,Estratovolcán,False,False,Irazu (Costa Rica)
1974 dC,1.0,Estratovolcán,True,False,Ritter Island (Papua New Guinea)
1986 dC,2.0,Estratovolcán,False,False,Merapi (Indonesia)
1987 dC,3.0,Volcán Complejo,False,False,Pacaya (Guatemala)
1990 dC,0.0,Escudo Piroclástico,False,False,Rabaul (Papua New Guinea)
1993 dC,0.0,Estratovolcán,False,False,Pinatubo (Philippines)
2000 dC,2.0,Estratovolcán,True,True,Miyake-jima (Japan)
2006 dC,1.0,Estratovolcán,False,False,Mayon (Philippines)
2009 dC,0.0,Estratovolcán,False,False,Redoubt (United States)
2016 dC,0.0,Estratovolcán,False,False,Sinabung (Indonesia)
2018 dC,0.0,Estratovolcán,False,False,Kusatsu-Shirane (Japan)
2019 dC,2.0,Estratovolcán,False,False,Stromboli (Italy)
1860 aC,6.0,Estratovolcán,False,False,St. Helens (United States)
230 dC,6.0,Caldera,False,False,Taupo (New Zealand)
1169 dC,0.0,Estratovolcán,True,True,Etna (Italy)
1566 dC,3.0,Volcán En Escudo,False,False,Kirishima (Japan)
1597 dC,4.0,Estratovolcán,False,False,Hekla (Iceland)
1640 dC,3.0,Estratovolcán,False,False,Tungurahua (Ecuador)
1650 dC,4.0,Volcán En Escudo,True,False,Santorini (Greece)
1660 dC,4.0,Volcán Subglacial,False,False,Katla (Iceland)
1672 dC,3.0,Estratovolcán,False,False,Merapi (Indonesia)
1679 dC,0.0,Volcán En Escudo,False,True,Zukur (Yemen)
