Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
Drama,en,2003-08-20,6.5,turned; popular; isn't,Thirteen
"Horror, Thriller",en,2009-07-30,6.3,mungo; alice's; 16yearold,Lake Mungo
Drama,en,2020-03-13,7.2,seek; travel; pair,Never Rarely Sometimes Always
"Fantasy, Drama, Family",en,1994-11-18,6.7,meeting; gift; doubts,Miracle on 34th Street
"Thriller, Horror, Fantasy",en,2016-11-19,4.7,latest; francesca; sexual,Compulsion
"Horror, Mystery, Thriller",en,1997-01-10,5.9,chicago; evolutionary; teams,The Relic
"Drama, War",en,2002-02-15,6.3,fellow; destroy; together,Hart's War
"Comedy, Drama",en,1986-03-14,6.1,cultures; plant; auto,Gung Ho
"Drama, Thriller",en,2016-10-12,4.5,murder; polish; novel,Dark Crimes
"Comedy, Fantasy, Romance",en,2015-04-21,5.2,alpha; york; learns,Sam
"History, War, Action, Drama",en,1993-12-24,6.7,whose; named; shattered,Heaven & Earth
"Action, Crime, Drama",fr,2001-04-04,6.0,besson; injustice; luc,Yamakasi
Drama,en,1945-11-29,7.7,bender; days; evading,The Lost Weekend
"Adventure, Animation, Family, Fantasy",en,1982-12-26,7.6,santa; eve; comes,The Snowman
"Comedy, Thriller, Drama",en,1985-09-13,7.5,night; shop; agrees,After Hours
Horror,en,1932-01-01,6.9,ancient; accidentally; reincarnation,The Mummy
"Horror, Comedy",en,2021-01-14,6.5,personified; turns; effort,Bloody Hell
"Western, Drama",en,2019-03-08,5.8,kid; fe; territory,The Kid
Documentary,en,2010-06-22,8.8,konietzko; dimartino; hit,Avatar Spirits
Drama,it,1948-11-24,8.3,livelihood; someone; bicycle,Bicycle Thieves
Drama,en,2021-04-17,7.3,gabrielle; stands; wants,Seven Deadly Sins: Envy
Comedy,en,2007-03-30,6.1,ice; medals; worldclass,Blades of Glory
"Comedy, Drama, Romance, Music",en,1996-10-04,6.9,hit; scores; starmaking,That Thing You Do!
Horror,en,2019-08-20,4.6,come; survival; bigfoot,Hoax
"Music, Documentary",en,2018-07-05,7.5,footage; filmmaker; features,Whitney
"Comedy, Drama, Romance",en,2016-05-11,6.5,spirit; 1930s; falls,Café Society
"Crime, Drama, Thriller",it,2015-10-14,7.3,common; vegas; mob,Suburra
"Romance, TV Movie",en,2018-02-14,5.6,pair; looking; match,My Perfect Romance
"Horror, Thriller",en,2017-10-14,6.3,however; finding; art,Creep 2
"Drama, War",it,1960-12-22,7.9,widowed; meanwhile; rosetta,Two Women
"Comedy, Mystery",en,2006-07-27,6.6,affair; aristocrat; incident,Scoop
"Drama, Comedy, Romance",en,2000-03-31,5.9,brainy; chris; smitten,Whatever It Takes
Documentary,en,2020-08-04,6.7,look; following; curtain,The Swamp
"Western, Action, Comedy",it,1968-10-02,6.5,deserted; people; allies,Ace High
"Family, History, Drama",en,2017-09-29,7.1,pooh; behind; scenes,Goodbye Christopher Robin
"Horror, Drama, Science Fiction",en,2017-11-24,5.5,zombielike; cannibals; undead,The Cured
"Drama, Romance",en,2010-03-14,6.4,say; like; grueling,The Cutting Edge: Fire & Ice
"Horror, Science Fiction",en,2012-01-13,5.9,apartment; together; fear,The Divide
Documentary,en,2006-03-26,6.6,authors; secret'; learn,The Secret
Comedy,fr,1967-12-16,7.8,environment; intermittently; american,PlayTime
"Thriller, TV Movie",en,2019-04-12,5.4,effort; show; copycat,Radio Silence
Comedy,en,2012-10-05,5.9,discovers; contest; annual,Butter
Comedy,en,1980-07-11,6.4,owner's; property; rival,Used Cars
"Comedy, Romance",en,2016-09-15,5.9,fresh; party; romance,Spin Out
"Drama, Romance",fr,1975-12-15,5.3,hong; course; puzzled,Emmanuelle: The Joys of a Woman
"Adventure, Drama, History",en,2009-05-17,7.0,gaining; between; joining,Agora
"Drama, History, Thriller",de,2018-09-27,7.5,just; air; starts,Balloon
Comedy,fr,2015-12-02,6.3,brazil; goes; adventures,Babysitting 2
"Action, Comedy, Thriller, Romance",en,1997-04-11,6.9,pointe; martin; reunion,Grosse Pointe Blank
"Family, Animation, Adventure, Comedy",en,2020-12-08,5.8,trashy; baseball; valuable,Bobbleheads: The Movie
Documentary,en,2018-03-09,6.6,students; adderall; do,Take Your Pills
"Comedy, Drama, Romance",en,1971-12-20,7.7,realize; suicideattempts; avoid,Harold and Maude
"Comedy, Music",en,2016-06-03,6.6,album; begin; anything,Popstar: Never Stop Never Stopping
"Drama, Horror, Thriller, Crime",en,2000-08-11,5.3,longed; agent; touches,Bless the Child
Drama,en,2004-07-18,6.1,author; pawn; yet,The Door in the Floor
Drama,en,2017-08-25,6.7,both; museum's; times,The Square
"Drama, Comedy",en,1982-12-18,7.8,late; host; business,The King of Comedy
"War, Drama, History",en,2017-02-18,7.4,5yearold; rise; survival,First They Killed My Father
"Drama, Romance",en,2003-03-07,5.8,creates; live; telling,My Life Without Me
Comedy,en,1997-12-11,5.8,discover; sexton; brad,For Richer or Poorer
"Family, Comedy",es,2012-11-01,7.0,sobeida’s; cravings; susanita,Lotoman 2.0
"Adventure, Family, TV Movie",en,2019-01-21,8.0,high; teenage; valley,Bixler High Private Eye
Romance,en,2018-03-15,6.9,hunter; nfl; mess,The Matchmaker's Playbook
"Fantasy, Drama, Romance, Science Fiction",ko,2000-09-09,7.5,mail; city; its,Il Mare
"Horror, Thriller",en,1985-01-25,6.8,transferred; swiss; insects,Phenomena
"Comedy, Drama",en,1994-04-29,6.8,harvard; might; thesis,With Honors
"Fantasy, Science Fiction",en,1991-01-13,4.8,ozone; year; profiting,Highlander II: The Quickening
"Drama, Thriller, Crime",en,1990-09-21,7.5,parting; 1929; political,Miller's Crossing
"Adventure, Fantasy, Action, Thriller, Science Fiction",en,1994-07-01,6.0,minds; city; comes,The Shadow
"Horror, Mystery, Drama, Thriller",ja,1999-10-06,7.1,series; wife; turn,Audition
"Comedy, Crime",en,1990-07-13,6.7,robbers; friend; mishap,Quick Change
"Action, Adventure, Science Fiction",ja,1964-12-20,7.2,rodan; kurobe; hatred,"Ghidorah, the Three-Headed Monster"
"Science Fiction, Horror, Fantasy, Thriller",en,2000-01-14,4.9,form; salvage; ship,Supernova
"Romance, Science Fiction",fr,1962-02-16,7.9,fate; attempts; getting,La Jetée
"War, Drama",es,2020-01-28,7.8,under; paraguay; condition,Chaco
"Animation, Horror, Science Fiction",en,2010-12-31,5.9,perspective; aftermath; fast,Dead Space: Aftermath
Drama,en,2008-03-26,6.7,dodge; illegal; immigrant,Frozen River
"Thriller, Action",ko,2014-04-30,6.9,murder; sneak; yeohoon,The Target
"Romance, Music",en,2018-04-27,7.2,point; ten; shared,Modern Life Is Rubbish
"Comedy, Family, Animation",en,2006-10-17,5.9,pranks; porcupine; children,Hammy's Boomerang Adventure
Drama,es,2021-06-18,5.9,apathy; liberating; small,Mighty Flash
"Animation, Adventure, Comedy, Family",de,2019-04-11,7.0,allowed; television; four,Spy Cat
"Animation, Family, Music",en,1998-10-16,6.1,worry; rudolph; getting,Rudolph the Red-Nosed Reindeer: The Movie
"Science Fiction, Drama",en,2007-06-10,7.6,never; oldman; goodbye,The Man from Earth
Action,en,1987-06-11,5.7,bronson); (charles; kersey,Death Wish 4: The Crackdown
"Comedy, Drama",en,2020-12-04,7.7,neighboring; complex; mexico,Half Brothers
"Crime, Thriller",en,2008-10-07,5.5,bobby; fiance; under,Joy Ride 2: Dead Ahead
Thriller,en,2020-05-28,6.2,day; faces; together,Dead Water
"Drama, Music",en,2019-06-19,6.8,south; music; pasts,Beats
"Thriller, Drama",en,2019-12-13,5.9,iconic; 1960s; late,Seberg
"Action, Comedy",es,2016-03-31,6.8,operation; work; hunt,Compadres
"Action, Comedy, Science Fiction, Horror",en,2006-04-22,4.8,local; animates; begins,Mammoth
"Horror, Thriller",en,2014-10-23,4.9,targets; next; following,V/H/S: Viral
"Comedy, Drama",fr,2009-02-02,5.8,certain; meets; léo,Thawing Out
"Horror, Thriller",en,2009-10-09,5.4,trapped; mission; reich,Blood Creek
Drama,ja,1981-12-25,5.3,magazine; lover; worker,Angel Guts: Red Porno
"Drama, Romance",en,1982-07-28,7.0,likewise; drill; cadet,An Officer and a Gentleman
"Comedy, Drama, Mystery, Romance",en,2005-08-05,6.9,devoutly; dumped; girlfriend,Broken Flowers
"Crime, Thriller",en,1943-01-15,7.6,nothing; frustrated; may,Shadow of a Doubt
"Horror, Thriller",en,1995-03-17,5.4,orleans; intended; brother,Candyman: Farewell to the Flesh
"Drama, Western, Romance",en,1954-05-26,7.5,region; death; wrongdoing,Johnny Guitar
"History, Drama",en,2012-11-09,6.9,months; divided; fate,Lincoln
"Comedy, Drama, Romance",en,2016-10-07,5.4,resting; benign; effects,The Late Bloomer
Thriller,en,2018-10-10,6.1,galveston; encounter; sees,Galveston
"Drama, Comedy",en,2014-08-06,7.3,street; centered; french,The Hundred-Foot Journey
"Horror, Drama, Fantasy",es,2013-06-21,6.7,apparitions; death; prophecy:,The House at the End of Time
Drama,en,2010-01-22,6.8,chaotic; boy; lost,Hesher
"Drama, Mystery, Thriller",en,2009-12-04,6.6,boarding; obsessed; girls,Cracks
"Action, Thriller",en,1990-10-30,5.3,ninjas; davidson; sean,American Ninja 4: The Annihilation
"Fantasy, Science Fiction",ru,2006-01-01,6.1,possession; apocalyptic; destroyed,Day Watch
"Crime, Drama",en,1962-12-20,8.0,much; friend; rape,To Kill a Mockingbird
"Drama, Romance",en,2020-05-08,6.2,country; explore; surroundings,The Nest
"Drama, History, War",en,1965-12-16,6.9,port; ready; orders,Battle of the Bulge
Drama,en,1984-08-23,8.1,walked; knowing; helps,"Paris, Texas"
"Documentary, Comedy",en,2018-01-19,8.0,largely; 2014; comedy,Robin Williams: Come Inside My Mind
"Crime, Drama, Mystery, Thriller",en,1997-05-02,6.8,lets; trucker; never,Breakdown
"Animation, Adventure, Comedy, Family",en,2022-08-24,0.0,epic; its; restore,Puss in Boots: The Last Wish
Documentary,es,2008-02-01,6.6,trafficking; altruistic; its,Pablo Escobar: Angel or Demon?
"Horror, Action, Science Fiction",en,1999-01-14,5.3,crew; boards; virus,Virus
"Comedy, Romance",en,2008-11-06,5.9,partners; see; contest,Another Gay Sequel: Gays Gone Wild!
"Horror, Thriller",en,2016-09-24,5.8,old; works; animal,Pet
"Adventure, Comedy",en,1986-05-08,6.2,spanish; red; galleon,Pirates
"Action, Adventure, Comedy, Horror, Science Fiction, Thriller",en,2019-08-17,4.3,island; seaside; threatens,Zombie Tidal Wave
Comedy,en,2006-08-25,5.9,honor; prompting; yanks',Beerfest
"Drama, Comedy",fr,1973-05-16,7.1,gather; villa; themselves,La Grande Bouffe
"Comedy, Drama",en,2013-05-17,7.4,flighty; dancer; diminishing,Frances Ha
"Drama, Romance, Science Fiction",en,2010-03-18,6.8,grow; children; idyllic,Never Let Me Go
"Action, Animation, Drama, Science Fiction",ja,1998-03-07,7.3,ending; long; reedit,Revival of Evangelion
Comedy,en,1974-12-15,7.9,work; grandfather; mad,Young Frankenstein
"Comedy, Drama",en,2018-04-16,6.6,front; alex; hunky,Alex Strangelove
"Action, Comedy, Crime",fr,2009-10-28,6.6,inadvertently; revenge; standing,Micmacs
"Horror, Comedy",en,2007-03-29,5.7,gone; machines; large,Black Sheep
Horror,en,1989-10-27,5.5,come; dead; electricity,Shocker
"Drama, Mystery, Romance",en,2016-12-09,5.6,chef; jealous; talented,Frank & Lola
Comedy,en,2020-03-13,7.5,innocent; zeke; mo’s,Big Time Adolescence
"Adventure, Family",de,2013-03-21,7.4,communicating; talent; tame,Windstorm
"Action, Adventure, Thriller",en,2000-08-04,6.4,program; ‘tank’; test,Space Cowboys
"Animation, Family, Action, Comedy",en,2018-12-21,6.8,along; air; justice,LEGO DC Super Heroes - Aquaman: Rage Of Atlantis
"Drama, Comedy, Family",ko,2013-01-23,8.2,ill; adorable; accused,Miracle in Cell No. 7
"Crime, Drama, Mystery",en,1995-03-24,7.2,accused; claiborne; scene,Dolores Claiborne
Drama,en,2013-08-16,7.4,racial; 1952; look,The Butler
"Drama, Mystery, Thriller",en,2003-10-22,5.1,–; increasingly; if,In the Cut
"TV Movie, Adventure, Action, Science Fiction, Horror",en,2016-07-26,5.0,sinks; frigid; breed,Ice Sharks
"Comedy, Romance",en,1991-12-20,6.4,daughter; without; slightly,Father of the Bride
"Adventure, Comedy, Drama, Romance",en,2005-12-25,6.5,seducing; opposite; lady,Casanova
"Drama, Thriller",en,2011-05-06,6.1,philosophies; wills; battle,The Ledge
"Horror, Thriller",en,2008-09-06,5.3,boys; far; ditch,Deadgirl
"Comedy, Romance",he,1981-04-07,6.0,turns; piano; buxom,Hot Bubblegum
"Comedy, Fantasy",cs,1966-12-30,7.5,destroy; spoiled; series,Daisies
"Adventure, Comedy, Science Fiction",en,1991-07-19,6.3,bill; challenging; slackers,Bill & Ted's Bogus Journey
"Action, Crime",cn,2019-04-04,6.5,ching; correctional; officers,P Storm
"Action, Horror, TV Movie",en,2008-01-01,5.8,order; super; brutal,Blade: House of Chthon
"Documentary, Adventure",en,2018-09-28,7.9,el; free; person,Free Solo
"Western, Action, Thriller, Drama",en,2015-05-15,6.7,old; gunman; 17yearold,Slow West
"Drama, Crime",en,2000-06-30,7.9,suffer; cope; moment,Dancer in the Dark
"Action, Drama",ko,2004-08-12,7.2,masutatsu; japan; competitor,Fighter in the Wind
Drama,en,2018-04-06,6.5,phenom; terron; forte,Amateur
Drama,ko,2012-06-06,5.9,royal; men; prince,The Concubine
"Drama, Thriller, Crime, Romance",fr,2005-04-01,6.2,de; paris; french,Anthony Zimmer
"Drama, Romance",fr,1967-05-24,7.4,there; séverine; lovestruck,Belle de Jour
"Drama, Thriller",en,2016-12-16,5.3,married; catandmouse; york,A Kind of Murder
"Music, Drama",en,2004-01-30,6.3,hiphop; starring; comedian,You Got Served
"Animation, Adventure, Family",es,2017-09-01,7.7,isolated; look; threat,Ana & Bruno
"Drama, Family, Fantasy, Romance",en,2002-10-11,6.6,rural; teenager; winnie,Tuck Everlasting
Drama,en,2018-06-20,7.4,clear; selfproclaimed; miscarriage,The Work Wife
"Comedy, Drama",en,2016-10-27,6.4,come; teenager; transitions,3 Generations
"Action, Comedy, Science Fiction, Romance, Drama",ja,2008-05-31,7.3,student; can’t; emotions,Cyborg She
"Comedy, Drama, Romance",en,2002-04-11,6.3,uses; 18; coach,Bend It Like Beckham
"Thriller, Drama, Horror",en,2014-03-20,5.7,territory; deepwilderness; hike,Backcountry
"Comedy, Romance",es,2013-10-05,7.1,us; lived; city,Pulling Strings
"Drama, Comedy",fr,2017-11-22,7.1,tower; lawyer; professor,Le Brio
"Comedy, Drama, Romance",en,2007-11-29,5.1,work; using; relationships,Sex and Breakfast
"Drama, Romance",nl,1973-02-22,7.0,arc; starcrossed; beautiful,Turkish Delight
"Action, Adventure, Drama, Romance",sv,2007-12-25,6.2,sent; knight; arn,Arn: The Knight Templar
"Thriller, Drama",en,2013-10-13,6.5,ability; case; or,Anna
"Drama, Thriller",fr,2013-02-17,5.7,fsb; bank; falls,Möbius
"Animation, Action, Fantasy, Science Fiction",ja,2011-10-25,6.0,supernatural; wake; quon,Towa no Quon 6: Eternal Quon
"Comedy, Fantasy",en,2017-08-27,5.2,next; he's; request,The Sex Trip
"Comedy, Crime",en,1955-12-08,7.2,culdesac; octogenarian; under,The Ladykillers
"Comedy, Romance",en,2004-09-13,6.2,expects; british; final,Wimbledon
"History, Horror",en,2018-10-26,5.7,sins; priory; 17th,The Convent
Drama,it,2017-09-18,7.2,eye; leads; passion,The Music of Silence
Drama,es,2016-09-29,4.8,working; sacrificing; paula,Los Modernos
"Comedy, Romance, Music",ru,1967-04-01,8.0,finally; search; folklore,"Kidnapping, Caucasian Style"
"Drama, Family, Romance",en,2006-10-10,5.5,passion; sara's; dance,Save the Last Dance 2
"Action, Comedy, Crime",ko,2019-01-23,7.1,popularity; working; delicious,Extreme Job
"TV Movie, Drama, History",en,2021-05-29,6.8,heroics; negotiations; secret,Oslo
"Animation, Comedy",en,2002-10-21,6.8,large; scrat; acorns,Gone Nutty
"Drama, Romance, Adventure, Action",en,2006-04-07,6.7,affair; feuding; lovers,Tristan & Isolde
"Animation, Action, Science Fiction",ja,2004-04-17,6.7,female; end; badlands,Appleseed
"Comedy, Western",en,1969-03-26,7.0,chooses; day; quick,Support Your Local Sheriff!
"Thriller, Mystery",en,2018-02-16,4.7,race; motel; gruesome,Looking Glass
"Horror, Action, Thriller",en,2012-05-29,4.0,returned; pieces; abraham,Abraham Lincoln vs. Zombies
"Thriller, Horror",en,2014-08-27,4.9,haunted; moves; manufacturing,Out of the Dark
"Drama, Romance",fr,1973-11-01,5.9,cousin; allegedly; four,Immoral Tales
"Horror, Thriller",en,1996-10-25,5.9,lawyer; ever; running,Thinner
"Drama, History",en,1964-03-11,7.2,trouble; pious; drinking,Becket
"Science Fiction, Romance",en,1984-12-13,6.8,stop; widow's; alien,Starman
"Horror, Thriller, Science Fiction",en,1999-03-11,5.6,key; rest; happens,The Rage: Carrie 2
"Family, Comedy",en,1998-07-14,5.4,strip; little; mischief,Dennis the Menace Strikes Again!
"Comedy, Romance, Drama",en,2019-11-07,7.3,however; last; store,Last Christmas
"Action, Drama, Thriller, Mystery",en,2010-06-01,4.9,no; both; hunted,The Stranger
"Adventure, Comedy, Romance",en,1963-08-24,6.1,sophie; tom; sophie,Tom Jones
"Drama, Action, History, Thriller",cn,2010-09-01,6.6,death; shanghai; zhen,Legend of the Fist: The Return of Chen Zhen
"Crime, Drama, Thriller",en,1991-02-01,8.3,jack; violent; student,The Silence of the Lambs
"Family, Comedy",en,2007-08-08,4.8,daycare; camp; competition,Daddy Day Camp
"Family, Comedy",en,2003-09-19,7.2,pair; reluctant; exotic,Secondhand Lions
Romance,ko,2020-04-10,8.5,try; invites; found,Pizza Dare 1
"Crime, Drama",en,2009-06-26,7.7,arranged; set; sahebjam,The Stoning of Soraya M.
Drama,el,1964-12-14,7.5,meets; english; changed,Zorba the Greek
"Comedy, Drama, Romance",en,2007-09-05,5.7,kris; abby; each,Young People Fucking
"Mystery, Thriller",ko,2021-04-21,6.8,almost; jin’s; vision,Recalled
"Comedy, Science Fiction",en,2016-08-28,7.5,thor; civil; america:,Team Thor: Part 1
"Horror, Science Fiction, Thriller",en,2012-09-13,5.7,tale; those; calls,The Bay
Drama,en,2005-09-09,6.7,day; quietly; known,An Unfinished Life
"Comedy, War",en,1939-11-03,6.4,join; kill; married,The Flying Deuces
"Adventure, Romance",en,1952-07-31,6.9,sir; scott's; walter,Ivanhoe
"Action, Adventure, Crime, Thriller",en,2000-06-15,5.9,especially; eyewitness; trial,Shaft
"Comedy, Drama",ja,2015-05-01,7.4,value; year; enter,Flying Colors
"Drama, Action, History, Thriller",en,2005-12-23,7.1,eleven; munich; palestinian,Munich
"Drama, Romance",da,1996-05-13,7.5,so; extramarital; conservative,Breaking the Waves
"Drama, Action, Thriller, Mystery",en,1994-02-11,5.6,prison; jack; benyon,The Getaway
"War, Drama",sr,2021-02-26,7.6,move; un; crucial,"Where are you going, Aida?"
"Drama, Comedy",es,2017-06-09,6.6,share; you; same,Skins
"Horror, Thriller",en,2022-01-28,5.0,desperate; responsible; van,Dracula: The Original Living Vampire
Drama,hu,2000-07-12,7.9,chief; even; cold,Werckmeister Harmonies
"Music, Drama",en,2010-03-19,6.4,kim; influence; cherie,The Runaways
"Action, Science Fiction",ja,1989-12-16,7.2,bioweapon; ensues; previous,Godzilla vs. Biollante
"Adventure, Fantasy, TV Movie",en,2001-01-01,6.8,really; discovery; strange,Voyage of the Unicorn
"Fantasy, Adventure, Comedy",cn,1995-01-21,7.4,longevity; heaven; reincarnated,A Chinese Odyssey Part One: Pandora's Box
"Science Fiction, Action, Comedy, Horror",en,1984-05-01,6.4,avenger; toxic; evildoers,The Toxic Avenger
Drama,es,2007-06-14,6.9,alex; regarding; wonder,XXY
War,ko,2010-06-16,7.4,opening; line; soldiers,71: Into the Fire
"History, Action, Drama, War",ru,2016-11-24,7.0,fight; dp; days,Panfilov's 28 Men
"Animation, Drama, Fantasy",ja,1973-06-30,7.4,revenge; magical; proceeds,Belladonna of Sadness
"Horror, Mystery, Thriller, TV Movie",en,1990-11-10,5.6,abusive; boys; recalls,Psycho IV – The Beginning
Horror,en,2018-02-13,5.2,serial; terrorizing; city,Hellraiser: Judgment
"Thriller, Action",en,2014-09-29,6.0,learns; brandon; hears,Sniper: Legacy
"Horror, Comedy",en,2009-03-16,5.3,hapless; enslaved; rural,Lesbian Vampire Killers
"Adventure, Science Fiction, Action",en,1984-07-13,6.6,defend; just; last,The Last Starfighter
"Action, Thriller",en,2011-11-22,5.2,go; robber; letting,Carjacked
"Comedy, Romance, War",it,1991-01-31,7.6,themselves; greek; enemy,Mediterraneo
"Horror, Science Fiction, Action",en,2015-03-27,5.2,zombie; people; survive,Dead Rising: Watchtower
"Comedy, Drama, Romance",en,2015-09-02,6.7,helps; night; meets,Before We Go
"Adventure, Comedy, Family",fr,2012-04-03,5.2,chabat); hunt; too,HOUBA! On the Trail of the Marsupilami
"Drama, Horror",en,2012-09-12,6.2,curiosity; struggles; hopes,Excision
"Comedy, Action",en,2005-02-25,5.7,witnesses; move; key,Man of the House
"Drama, Comedy, Romance",fr,2006-12-13,6.4,catch; rich; lowly,Priceless
"Adventure, Action, Thriller, Science Fiction",en,2009-04-28,6.3,seeking; death; weapon,X-Men Origins: Wolverine
"Drama, Family",en,2018-03-08,6.8,cheerleading; old; joins,Going for Gold
"Animation, Comedy",ja,2001-04-21,8.1,abandon; 20thcentury; rescue,Crayon Shin-chan: Fierceness That Invites Storm! The Adult Empire Strikes Back
"Drama, TV Movie",en,2011-11-27,6.6,nevertheless; some; mitch,Have a Little Faith
"Drama, Thriller, Romance",en,1993-01-15,4.9,dead; old; defends,Body of Evidence
"Drama, Romance",en,2019-03-07,5.9,freespirited; divorcée; floor,Gloria Bell
"Thriller, TV Movie",en,2021-02-13,7.0,community; seems; far,Death Saved My Life
"Horror, Thriller",en,2012-09-21,5.8,door; befriends; themselves,House at the End of the Street
"Drama, War",en,1930-04-29,7.8,german; horror; sad,All Quiet on the Western Front
Comedy,de,2017-10-26,6.1,education; once; german,Suck Me Shakespeer 3
Action,zh,2016-07-15,6.7,leaves; wulin; li,The Bodyguard
"Drama, Thriller",en,2016-11-11,5.6,whereabouts; track; missing,Come and Find Me
"Crime, Mystery, Thriller, Horror",en,1980-02-15,6.4,police; districts; onto,Cruising
"Horror, Fantasy, Science Fiction",en,1989-10-12,5.8,later; tune; little,Puppet Master
"Family, Animation, Comedy, Mystery",en,2012-10-22,7.9,circus; scooby; traveling,Big Top Scooby-Doo!
"Drama, Crime",en,1978-08-31,7.6,government; caught; smuggle,Midnight Express
"Adventure, Drama",en,1985-08-30,6.5,castle; destruction; revenge,Flesh + Blood
"Comedy, Romance",cn,1993-04-17,5.1,[from; exotic; discovery,Crazy Love
"Horror, Mystery",en,2018-08-30,6.4,mansion; teachers; every,Boarding School
"Horror, Comedy",en,2012-03-28,4.1,six; stalked; killer,Girls Gone Dead
Horror,en,2019-09-05,5.8,plague; dead; isolated,Blood Quantum
"Action, Science Fiction, Fantasy",ja,2001-12-15,7.5,submarine; destruction; inflicted,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack"
"Drama, Romance, Crime",en,2019-11-27,7.2,situation; forgettable; ohio,Queen & Slim
"Horror, Thriller",en,2016-05-13,4.8,supernatural; tow; presence,The Darkness
"Comedy, Music",en,2008-08-20,6.0,nephew's; second; arise,The Rocker
"Comedy, Crime",en,1987-03-01,7.0,quintuplets; decide; than,Raising Arizona
"Animation, Action, Science Fiction",en,2016-07-24,6.5,croc; heroes; supersized,Batman Unlimited: Mechs vs. Mutants
"Fantasy, Romance, Science Fiction, Drama, Adventure, Family",de,2014-08-14,7.2,she's; secrets; constant,Sapphire Blue
Action,ko,2020-08-05,6.8,gangland; mercy; contract,Deliver Us from Evil
"Action, Thriller, Drama, Crime",en,2009-02-03,6.2,governments; trading; interpol,The International
"Documentary, TV Movie",en,2019-01-18,6.9,engineered; cheese; tents,Fyre
"Drama, Comedy",en,2000-02-16,5.3,approaching; none; death,Hanging Up
"Action, Adventure, Crime, Drama, Thriller",en,1941-01-23,7.1,pardon; earle; robs,High Sierra
"Drama, History, Music",en,2008-12-05,7.2,walter; rock; including,Cadillac Records
"Drama, Mystery, Thriller",en,2005-08-31,7.0,lowlevel; work; determined,The Constant Gardener
"Comedy, Drama",en,2015-09-11,5.9,focuses; feature; strategies,Our Brand Is Crisis
"Thriller, Crime",es,2018-09-07,5.6,forever; prevent; do,When Angels Sleep
Drama,en,2018-03-01,6.8,competent; medication; case,55 Steps
"Comedy, Crime",en,2022-03-11,0.0,criminals; hidden; psychic,Sideshow
"Science Fiction, Action, Adventure",en,2018-08-20,5.2,discover; explorers; crash,Jurassic Galaxy
"Family, Comedy, Fantasy",en,2020-11-20,6.7,feet; mission; it's,Noelle
Horror,en,2009-08-30,5.0,festivities; horrifying; victim,Night of the Demons
"Drama, Music, Horror, Thriller",en,2018-09-20,6.7,very; violent; results,Lords of Chaos
"Action, Drama, Thriller",en,1998-01-30,5.9,mccabe's; peter; connor,Desperate Measures
"Drama, Comedy, Romance",en,2003-12-12,6.6,erica; erica; attack,Something's Gotta Give
"Comedy, Drama, War",en,1970-02-18,7.0,keep; high; korean,M*A*S*H
"Horror, Thriller",en,2018-02-21,6.3,institution; greatest; mental,Unsane
"Documentary, Music",ko,2018-11-15,8.9,bts; movie; movie,Burn the Stage: The Movie
Comedy,en,1986-02-14,6.3,job; planet; former,Wildcats
"Crime, Drama, Thriller",en,2009-09-12,6.5,rich; ransom; father's,The Disappearance of Alice Creed
"Comedy, Romance",en,2011-10-08,6.0,“open”; zack; palm,Eating Out: The Open Weekend
"Comedy, Romance",en,1994-04-22,5.2,road; toni; taking,Chasers
"Adventure, Drama, War",en,2006-09-09,6.9,survival; mission; shot,Rescue Dawn
"Crime, Drama, Comedy",en,2020-09-25,6.2,entire; training; conceived,Kajillionaire
"Animation, Comedy",ja,2013-05-09,7.9,christianity; christianity; jesus,Saint☆Young Men
"Animation, Adventure, Family",en,1995-03-16,6.3,forth; hyp; solution,The Land Before Time III: The Time of the Great Giving
Drama,en,2018-06-29,6.7,increasingly; authorities; oregon,Leave No Trace
"Comedy, Family",en,2003-07-01,5.1,air; bud; uncanny,Air Bud: Spikes Back
"Drama, Comedy",es,2019-11-01,8.4,diverse; band; band,Dedicated to my ex
"Action, Thriller",en,2022-03-17,0.0,panama; true; hired,Panama
"Drama, Thriller",en,2008-08-19,5.9,land; water; hot,Restraint
"Comedy, Drama, Romance",en,2003-08-08,4.9,learns; visiting; paris,Le Divorce
"Thriller, Horror",en,2021-03-26,5.9,destination; passenger; driver,The Toll
"Drama, Thriller",en,2005-11-23,6.4,bennett; analyst; both,Syriana
"Family, Action, Comedy",en,1998-04-10,4.9,together; amusement; appearance,3 Ninjas: High Noon at Mega Mountain
Comedy,en,2003-12-10,5.3,make; conjoined; costars,Stuck on You
"Horror, Science Fiction",en,1989-05-11,5.3,arcane; genetic; returns,The Return of Swamp Thing
"Comedy, Drama, Fantasy, Horror, Mystery",en,2010-11-09,5.9,goes; set; onlookers,Rubber
"Family, Comedy, Fantasy",en,2010-04-02,4.9,wrench; sanders; rises,Furry Vengeance
"Adventure, Action, Crime, Thriller",en,1994-09-30,6.4,armed; rafting; river,The River Wild
Action,ja,2005-03-12,6.5,nachi; dangerous; remarking,Azumi 2: Death or Love
Comedy,en,1999-11-01,6.4,lifetime; grade; weekend,The Key to Sex
Romance,ko,2019-07-26,0.0,catching; coffee; streets,I Don't Like Younger Men 4
"Crime, Comedy",en,1983-08-12,4.6,inspector; sleigh; officials,Curse of the Pink Panther
