Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Animation, Family, Comedy",en,2011-06-16,7.0,vacation; barbie; ken,Hawaiian Vacation
"Drama, Romance",fr,1999-05-12,5.7,journeys; leaves; upperclass,Pola X
"Mystery, Thriller",en,2017-08-10,5.1,changes; details; blind,All I See Is You
Documentary,en,2013-11-26,8.5,documentary; season; bad,No Half Measures: Creating the Final Season of Breaking Bad
"Animation, Action",ja,2014-08-24,8.3,road; student; really,New Initial D the Movie - Legend 1: Awakening
"Drama, History",en,2020-09-25,7.8,trials; turned; followed,The Trial of the Chicago 7
"Romance, Drama",en,2015-10-20,7.3,york; choose; countries,Brooklyn
"Thriller, History, Drama, Action",en,2019-03-14,7.6,guests; hatred; palace,Hotel Mumbai
"Comedy, Drama, Romance",id,2019-01-31,6.6,charm; meets; high,Too Handsome To Handle
"Action, Adventure, Animation, Family",ja,2013-07-13,6.5,genesect; threat; faces,Pokémon the Movie: Genesect and the Legend Awakened
Comedy,en,1999-02-19,7.4,day; gibbons; gets,Office Space
"Drama, Fantasy, Thriller",en,2020-01-17,7.1,lawyer; indicted; husband,A Fall from Grace
"Adventure, Fantasy",fr,2021-07-21,7.1,arthur; acclaimed; lancelot's,Kaamelott: The First Chapter
"Thriller, Horror",ko,2010-08-12,7.8,catch; soohyun; were,I Saw the Devil
Drama,en,2016-04-08,7.2,srinivasa; pioneer; gh,The Man Who Knew Infinity
"Thriller, Mystery",en,2013-02-27,5.8,decades; truth; remote,The Dyatlov Pass Incident
Horror,en,2019-07-19,8.5,venture; met; better,Tiffany + Chucky
"Drama, Romance",it,1972-10-14,7.0,parisian; sexual; anonymous,Last Tango in Paris
"Action, Drama, History, War",en,1976-06-18,6.6,drama; ii; turning,Midway
"Animation, Adventure, Family",en,2020-12-11,6.6,eve; everyone; hand,A Trash Truck Christmas
Thriller,es,2019-04-04,6.4,luxurious; argentina; sidewalk,4x4
"Animation, Adventure",en,2013-08-09,5.9,boy; knight; sees,Justin and the Knights of Valour
"Western, Action, Drama",en,2015-12-31,5.8,defend; husband's; exlover,Jane Got a Gun
"Drama, Romance",de,2019-10-10,8.0,confuse; like; then,Close to the Horizon
"Comedy, Action",fr,2018-04-07,5.6,powerfull; drive; officer,Taxi 5
"Comedy, Fantasy, Horror",en,1987-06-12,6.5,single; picturesque; three,The Witches of Eastwick
"Action, Thriller, Adventure",en,2011-04-07,6.6,hanna; hanna; across,Hanna
"Science Fiction, Adventure",en,1986-11-26,7.2,power; star; far,Star Trek IV: The Voyage Home
"Animation, Action",en,2019-08-03,7.5,green; put; alltime,LEGO Marvel Spider-Man: Vexed by Venom
"Drama, Thriller",en,1979-01-25,7.5,begin; ever; managed,Escape From Alcatraz
"Comedy, Drama, Romance",en,2017-03-30,7.4,true; nanjiani; contracts,The Big Sick
Comedy,en,2003-04-14,4.1,remedial; lloyd's; wacky,Dumb and Dumberer: When Harry Met Lloyd
"Action, Mystery, Thriller, Science Fiction",en,2018-12-21,5.2,child—meets; daughter; downonhisluck,Between Worlds
"Drama, Romance, War",en,1996-11-05,7.2,along; several; chart,The English Patient
"Action, Comedy, Crime, Thriller",en,2003-01-17,5.9,operation; thrown; mismatched,National Security
"Action, Adventure, Drama",en,2016-02-18,6.1,legendary; last; sword,"Crouching Tiger, Hidden Dragon: Sword of Destiny"
"Comedy, Romance",en,2003-02-07,6.7,comedy; prove; andie,How to Lose a Guy in 10 Days
"Adventure, Family, Fantasy, Comedy, Romance",en,1987-09-25,7.7,sixfingered; fairy; tale,The Princess Bride
"Animation, Family",en,2009-10-27,6.6,brought; truck; baby,Curious George 2: Follow That Monkey!
"Drama, Horror, Romance, Science Fiction",en,2018-03-08,5.7,survive; apocalyptic; come,Hostile
"Crime, Action, Drama, Thriller",en,2008-10-15,5.3,assassin; solve; murders,Max Payne
Horror,en,2017-02-03,5.5,legend; witch; embroiled,Don't Knock Twice
"Science Fiction, Comedy",es,2011-09-11,5.5,your; invasion; would,Extraterrestrial
"Thriller, Crime, Horror",en,2018-04-19,6.8,thief; returns; house,Bad Samaritan
"Drama, Thriller, Crime, Adventure",en,1991-05-24,7.6,incriminating; strength; along,Thelma & Louise
"Horror, Thriller",en,2019-02-06,6.2,behavior; mother; supernatural,The Prodigy
"Action, Science Fiction, War",en,1990-12-14,4.7,skull; sabotage; frozen,Captain America
"Crime, Drama, Romance, Thriller",fr,2000-06-28,4.3,abused; meet; encountered,Baise-moi
"Horror, Science Fiction, Fantasy, Mystery, Thriller",en,2006-03-31,6.5,mutant; turning; forms,Slither
"Science Fiction, Action, Thriller",en,2018-09-04,7.0,behind; ufo; sees,UFO
"Action, Mystery, Fantasy",ko,2018-06-27,7.6,many; childhood; loss,The Witch: Part 1. The Subversion
"Action, Crime, Drama, Thriller",en,1990-01-18,5.9,musical; partner; partners,The Rookie
"Drama, Thriller",hi,2021-02-26,5.8,murder; divorcee; far,The Girl on the Train
"Family, Comedy, Animation, Adventure",en,2018-01-26,6.1,sacred; valley; enemy,Early Man
Documentary,en,2000-10-22,7.5,legendary; action; paints,Bruce Lee: A Warrior's Journey
"Romance, Drama, Mystery",en,2006-06-16,6.9,unusual; begins; resident,The Lake House
"Romance, Comedy",en,1994-09-17,6.8,charming; may; flies,Only You
Drama,en,2017-02-15,7.1,forms; unlikely; friendship,Handsome Devil
"Family, Action, Comedy",en,2020-01-09,6.9,hardened; surveil; precocious,My Spy
"Horror, History, Fantasy",sv,2018-10-10,5.3,something; something; forests,Draug
"Action, Comedy",it,1977-04-01,6.9,turns; mistakenly; recruitment,Crime Busters
"Action, Adventure, Horror, Thriller",en,2005-08-26,5.3,explorers; believing; ecosystem,The Cave
